message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,A verified business is sending an update that matches the user's account relationship.,0.65,message_0243;message_0102
msg_091,mute,scam,The message asks for sensitive verification or payment under manufactured urgency.,0.92,message_0238;message_0381
msg_090,digest,unknown,"The sender is unfamiliar, but the message shows no urgency, payment pressure, or safety risk.",0.69,none
msg_048,notify,urgent,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.82,message_0151;message_0152
msg_040,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.62,message_0136;message_0135
msg_075,notify,business_update,A verified business is sending an update that matches the user's account relationship.,0.7,message_0206;message_0205
msg_005,notify,personal,The sender is known and the message asks for a direct response.,0.92,message_0065;message_0049
msg_104,notify,personal,The sender is known and the message asks for a direct response.,0.94,message_0224;message_0050
msg_069,mute,greeting,The sender has a pattern of repeated forwards that the user usually ignores.,0.67,message_0177;message_0193
msg_107,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.61,message_0369;message_0213
msg_070,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.59,message_0213;message_0199
msg_003,notify,business_update,A verified business is sending an update that matches the user's account relationship.,0.71,message_0400;message_0031
msg_099,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0227;message_0118
msg_008,digest,business_update,The verified business message asks for feedback and is not time-sensitive.,0.69,message_0296;message_0072
msg_092,notify,payment,A verified business is sending an update that matches the user's account relationship.,0.66,none
msg_060,digest,promotion,The message is promotional and matches a business or topic the user has opted into.,0.66,message_0284;message_0176
msg_004,notify,event,A verified business is sending an update that matches the user's account relationship.,0.67,message_0245;message_0005
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.68,message_0115;message_0335
msg_045,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.62,message_0146;message_0145
msg_052,mute,spam,"The business message is not from a verified, recognizable sender.",0.58,message_0208;message_0207
msg_009,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0074;message_0073
msg_071,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0197;message_0198
msg_016,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.63,message_0024;message_0202
msg_065,digest,promotion,The message is promotional and matches a business or topic the user has opted into.,0.7,message_0261;message_0185
msg_038,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.67,message_0132;message_0131
msg_086,mute,spam,"The business message is not from a verified, recognizable sender.",0.52,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.73,message_0258;message_0018
msg_094,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.71,none
msg_029,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.72,message_0095;message_0113
msg_105,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.64,message_0373;message_0233
msg_002,notify,personal,The sender is known and the message asks for a direct response.,0.9,message_0003;message_0266
msg_010,digest,business_update,The verified business message asks for feedback and is not time-sensitive.,0.63,message_0011;message_0242
msg_078,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.67,message_0211;message_0212
msg_013,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.72,message_0081;message_0082
msg_018,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.65,message_0026;message_0092
